aclnn_api,torch_npu,torch_npu_via_ops,mindspore,mindspore_pyboost,mindspore_kbk,mindspore_via_ops
aclnnTril,✅,tril;tril.out,✅,✅,✅,TrilExt
aclnnTriu,✅,triu;triu.out,✅,✅,✅,Triu
aclnnTrunc,✅,trunc;trunc.out,✅,✅,✅,Trunc
aclnnUnfoldGrad,✅,unfold_backward,✖️,✖️,✖️,
aclnnUnique,✅,_unique,✅,✖️,✅,InnerUnique
aclnnUnique2,✅,_unique2,✅,✅,✅,Unique2
aclnnUniqueConsecutive,✅,unique_consecutive,✅,✅,✅,UniqueConsecutive
aclnnUniqueDim,✅,unique_dim,✅,✅,✅,UniqueDim
aclnnUpsampleBicubic2d,✅,upsample_bicubic2d;upsample_bicubic2d.out,✅,✅,✅,UpsampleBicubic2D;UpsampleBicubic2d
aclnnUpsampleBicubic2dAA,✅,_upsample_bicubic2d_aa;_upsample_bicubic2d_aa.out,✖️,✖️,✖️,
aclnnUpsampleBicubic2dAAGrad,✅,_upsample_bicubic2d_aa_backward;_upsample_bicubic2d_aa_backward.grad_input,✖️,✖️,✖️,
aclnnUpsampleBicubic2dBackward,✅,upsample_bicubic2d_backward;upsample_bicubic2d_backward.grad_input,✅,✅,✅,UpsampleBicubic2DGrad;UpsampleBicubic2dGrad
aclnnUpsampleBilinear2d,✅,upsample_bilinear2d;upsample_bilinear2d.out,✅,✅,✅,UpsampleBilinear2D;UpsampleBilinear2d
aclnnUpsampleBilinear2dAA,✅,_upsample_bilinear2d_aa;_upsample_bilinear2d_aa.out,✖️,✖️,✖️,
aclnnUpsampleBilinear2dAABackward,✅,_upsample_bilinear2d_aa_backward;_upsample_bilinear2d_aa_backward.grad_input,✖️,✖️,✖️,
aclnnUpsampleBilinear2dBackward,✅,,✖️,✖️,✖️,
aclnnUpsampleBilinear2dBackwardV2,✅,upsample_bilinear2d_backward;upsample_bilinear2d_backward.grad_input,✅,✅,✅,UpsampleBilinear2DGrad;UpsampleBilinear2dGrad
aclnnUpsampleLinear1d,✅,upsample_linear1d;upsample_linear1d.out,✅,✅,✅,UpsampleLinear1D;UpsampleLinear1d
aclnnUpsampleLinear1dBackward,✅,upsample_linear1d_backward,✅,✅,✅,UpsampleLinear1DGrad;UpsampleLinear1dGrad
aclnnUpsampleNearest1d,✅,,✅,✅,✅,UpsampleNearest1D;UpsampleNearest1d
aclnnUpsampleNearest1dBackward,✅,upsample_nearest1d_backward;upsample_nearest1d_backward.grad_input,✅,✅,✅,UpsampleNearest1DGrad;UpsampleNearest1dGrad
aclnnUpsampleNearest1dV2,✅,upsample_nearest1d;upsample_nearest1d.out,✖️,✖️,✖️,
aclnnUpsampleNearest2d,✅,,✅,✅,✅,UpsampleNearest2D;UpsampleNearest2d
aclnnUpsampleNearest2dBackward,✅,upsample_nearest2d_backward;upsample_nearest2d_backward.grad_input,✅,✅,✅,UpsampleNearest2DGrad;UpsampleNearest2dGrad
aclnnUpsampleNearest2dV2,✅,upsample_nearest2d;upsample_nearest2d.out,✖️,✖️,✖️,
aclnnUpsampleNearest3d,✅,upsample_nearest3d;upsample_nearest3d.out,✅,✅,✅,UpsampleNearest3D;UpsampleNearest3d
aclnnUpsampleNearest3dBackward,✅,upsample_nearest3d_backward;upsample_nearest3d_backward.grad_input,✅,✅,✅,UpsampleNearest3DGrad;UpsampleNearest3dGrad
aclnnUpsampleNearestExact1d,✅,_upsample_nearest_exact1d;_upsample_nearest_exact1d.out,✖️,✖️,✖️,
aclnnUpsampleNearestExact1dBackward,✅,_upsample_nearest_exact1d_backward;_upsample_nearest_exact1d_backward.grad_input,✖️,✖️,✖️,
aclnnUpsampleNearestExact2d,✅,_upsample_nearest_exact2d;_upsample_nearest_exact2d.out,✖️,✖️,✖️,
aclnnUpsampleNearestExact2dBackward,✅,_upsample_nearest_exact2d_backward;_upsample_nearest_exact2d_backward.grad_input,✖️,✖️,✖️,
aclnnUpsampleNearestExact3d,✅,_upsample_nearest_exact3d;_upsample_nearest_exact3d.out,✖️,✖️,✖️,
aclnnUpsampleNearestExact3dBackward,✅,_upsample_nearest_exact3d_backward;_upsample_nearest_exact3d_backward.grad_input,✖️,✖️,✖️,
aclnnUpsampleTrilinear3d,✅,upsample_trilinear3d;upsample_trilinear3d.out,✅,✅,✅,UpsampleTrilinear3D;UpsampleTrilinear3d
aclnnUpsampleTrilinear3dBackward,✅,upsample_trilinear3d_backward;upsample_trilinear3d_backward.grad_input,✅,✅,✅,UpsampleTrilinear3DGrad;UpsampleTrilinear3dGrad
aclnnVar,✖️,,✅,✅,✅,
aclnnVarCorrection,✅,var.correction;var.correction_out,✅,✅,✅,Var
aclnnVarMean,✅,var_mean.correction,✅,✅,✅,VarMean
aclnnWeightQuantBatchMatmul,✖️,,✖️,✖️,✖️,
aclnnWeightQuantBatchMatmulV2,✅,npu_weight_quant_batchmatmul,✅,✅,✅,WeightQuantBatchMatmul
aclnnWeightQuantBatchMatmulV3,✅,npu_weight_quant_batchmatmul,✖️,✖️,✖️,
aclnnWeightQuantMatmulAllReduce,✅,npu_mm_all_reduce_base,✖️,✖️,✖️,
aclnnWeightQuantMatmulAllReduceAddRmsNorm,✖️,,✖️,✖️,✖️,
aclnnXLogYScalarOther,✅,xlogy.OutScalar_Other;xlogy.Scalar_Other,✅,✅,✅,XLogYScalarOther
aclnnXLogYScalarSelf,✅,xlogy.OutScalar_Self;xlogy.Scalar_Self,✅,✅,✅,XLogYScalarSelf
aclnnXLogYTensor,✅,xlogy.OutTensor;xlogy.Tensor;xlogy_.Tensor,✅,✅,✅,Xlogy
